"CO_ANO";"SUBSTANCIA";"NO_FAT_AGREG";"EX_FOB.x";"QUANTIDADE_TON";"percentual_FAT_AGREG"
"2016";"Água Mineral";"PRODUTOS MANUFATURADOS";8525137;25069,295;100
"2017";"Água Mineral";"PRODUTOS MANUFATURADOS";9350826;23192,148;100
"2018";"Água Mineral";"PRODUTOS MANUFATURADOS";11266996;29288,124;100
"2016";"Amianto";"PRODUTOS BASICOS";46937788;83474,8;92,36
"2017";"Amianto";"PRODUTOS BASICOS";53824137;106819,2;95,7
"2018";"Amianto";"PRODUTOS BASICOS";44768477;101067,3;96,74
"2016";"Amianto";"PRODUTOS MANUFATURADOS";3885254;19196,052;7,64
"2017";"Amianto";"PRODUTOS MANUFATURADOS";2416880;10115,09;4,3
"2018";"Amianto";"PRODUTOS MANUFATURADOS";1506647;6647,24;3,26
"2016";"Antimônio";"PRODUTOS MANUFATURADOS";14612;1,707;100
"2017";"Antimônio";"PRODUTOS MANUFATURADOS";527;0,035;100
"2018";"Antimônio";"PRODUTOS MANUFATURADOS";67354;23,137;100
"2016";"Areia";"PRODUTOS BASICOS";146137;2562,046;100
"2017";"Areia";"PRODUTOS BASICOS";47101;996,428;100
"2018";"Areia";"PRODUTOS BASICOS";71795;1767,969;100
"2016";"Argilas Comuns";"PRODUTOS BASICOS";547445;320,686;2,32
"2017";"Argilas Comuns";"PRODUTOS BASICOS";871437;283,08;0,25
"2018";"Argilas Comuns";"PRODUTOS BASICOS";476366;195,945;0,1
"2016";"Argilas Comuns";"PRODUTOS MANUFATURADOS";23065025;82702,391;97,68
"2017";"Argilas Comuns";"PRODUTOS MANUFATURADOS";350425017;1399546,941;99,75
"2018";"Argilas Comuns";"PRODUTOS MANUFATURADOS";460569243;1542613,291;99,9
"2016";"Argilas Plásticas";"PRODUTOS BASICOS";18658;18,258;0,01
"2017";"Argilas Plásticas";"PRODUTOS BASICOS";281;1;0
"2018";"Argilas Plásticas";"PRODUTOS BASICOS";2120;4;0
"2016";"Argilas Plásticas";"PRODUTOS MANUFATURADOS";335848554;1257753,436;99,99
"2017";"Argilas Plásticas";"PRODUTOS MANUFATURADOS";61518196;43580,738;100
"2018";"Argilas Plásticas";"PRODUTOS MANUFATURADOS";63652938;30504,272;100
"2016";"Argilas Refratárias";"PRODUTOS BASICOS";109779;560,981;0,65
"2017";"Argilas Refratárias";"PRODUTOS BASICOS";135808;662,991;0,86
"2018";"Argilas Refratárias";"PRODUTOS BASICOS";376123;1275,289;2,24
"2016";"Argilas Refratárias";"PRODUTOS MANUFATURADOS";16748240;14059,459;99,35
"2017";"Argilas Refratárias";"PRODUTOS MANUFATURADOS";15637728;12820,187;99,14
"2018";"Argilas Refratárias";"PRODUTOS MANUFATURADOS";16399638;9461,878;97,76
"2016";"Bário";"PRODUTOS BASICOS";1903561;6456,685;94,16
"2017";"Bário";"PRODUTOS BASICOS";152502;195;33,5
"2018";"Bário";"PRODUTOS BASICOS";154263;320,349;70,52
"2016";"Bário";"PRODUTOS MANUFATURADOS";118043;156,548;5,84
"2017";"Bário";"PRODUTOS MANUFATURADOS";302666;168,06;66,5
"2018";"Bário";"PRODUTOS MANUFATURADOS";64503;78,939;29,48
"2016";"Bauxita";"PRODUTOS BASICOS";304745510;10482985,763;8,05
"2017";"Bauxita";"PRODUTOS BASICOS";254942845;8982389,631;6,12
"2018";"Bauxita";"PRODUTOS BASICOS";283590305;8482001,492;6,99
"2016";"Bauxita";"PRODUTOS MANUFATURADOS";2968463373;9844833,576;78,38
"2017";"Bauxita";"PRODUTOS MANUFATURADOS";3508291029;9936696,452;84,15
"2018";"Bauxita";"PRODUTOS MANUFATURADOS";3525127416;7427311,838;86,88
"2016";"Bauxita";"PRODUTOS SEMIMANUFATURADOS";513968335;332506,88;13,57
"2017";"Bauxita";"PRODUTOS SEMIMANUFATURADOS";405729749;214959,477;9,73
"2018";"Bauxita";"PRODUTOS SEMIMANUFATURADOS";248945075;116578,781;6,14
"2016";"Bentonita";"PRODUTOS BASICOS";10477078;15934,474;98,32
"2017";"Bentonita";"PRODUTOS BASICOS";9294685;15402,189;98,46
"2018";"Bentonita";"PRODUTOS BASICOS";6360815;11801,33;97,69
"2016";"Bentonita";"PRODUTOS MANUFATURADOS";178797;526,903;1,68
"2017";"Bentonita";"PRODUTOS MANUFATURADOS";145383;272,745;1,54
"2018";"Bentonita";"PRODUTOS MANUFATURADOS";150420;211,305;2,31
"2016";"Bismuto";"PRODUTOS MANUFATURADOS";83598;0,308;100
"2017";"Bismuto";"PRODUTOS MANUFATURADOS";55458;0,199;68,71
"2018";"Bismuto";"PRODUTOS MANUFATURADOS";33115;0,275;100
"2017";"Bismuto";"PRODUTOS SEMIMANUFATURADOS";25257;45;31,29
"2016";"Boro";"PRODUTOS BASICOS";41732;15,325;8,3
"2017";"Boro";"PRODUTOS BASICOS";48253;44,605;11,83
"2018";"Boro";"PRODUTOS BASICOS";56822;74,325;11,82
"2016";"Boro";"PRODUTOS MANUFATURADOS";461326;132,959;91,7
"2017";"Boro";"PRODUTOS MANUFATURADOS";359699;108,293;88,17
"2018";"Boro";"PRODUTOS MANUFATURADOS";424058;119,6;88,18
"2016";"Bromo";"PRODUTOS MANUFATURADOS";775057;1083,2;100
"2017";"Bromo";"PRODUTOS MANUFATURADOS";1400676;1685,385;100
"2018";"Bromo";"PRODUTOS MANUFATURADOS";681700;1088,497;100
"2016";"Cádmio";"PRODUTOS MANUFATURADOS";2123106;138,05;91,02
"2017";"Cádmio";"PRODUTOS MANUFATURADOS";3118343;209,375;93,78
"2018";"Cádmio";"PRODUTOS MANUFATURADOS";2647401;159,873;92,39
"2016";"Cádmio";"PRODUTOS SEMIMANUFATURADOS";209577;223,818;8,98
"2017";"Cádmio";"PRODUTOS SEMIMANUFATURADOS";206909;180,263;6,22
"2018";"Cádmio";"PRODUTOS SEMIMANUFATURADOS";217957;305,07;7,61
"2016";"Calcário";"PRODUTOS BASICOS";556211;13471,64;0,76
"2017";"Calcário";"PRODUTOS BASICOS";473446;11054,452;0,86
"2018";"Calcário";"PRODUTOS BASICOS";351282;12141,772;0,63
"2016";"Calcário";"PRODUTOS MANUFATURADOS";70439570;479751,266;96,4
"2017";"Calcário";"PRODUTOS MANUFATURADOS";52800159;217342,759;95,37
"2018";"Calcário";"PRODUTOS MANUFATURADOS";54041573;207732,709;96,88
"2016";"Calcário";"PRODUTOS SEMIMANUFATURADOS";2073919;21994,522;2,84
"2017";"Calcário";"PRODUTOS SEMIMANUFATURADOS";2091609;19714,569;3,78
"2018";"Calcário";"PRODUTOS SEMIMANUFATURADOS";1389012;13614,229;2,49
"2016";"Carvão Mineral";"PRODUTOS BASICOS";4452309;35537,159;11,24
"2017";"Carvão Mineral";"PRODUTOS BASICOS";142781;184,976;0,28
"2018";"Carvão Mineral";"PRODUTOS BASICOS";1147902;1765,142;1,45
"2016";"Carvão Mineral";"PRODUTOS MANUFATURADOS";33704971;74713,755;85,11
"2017";"Carvão Mineral";"PRODUTOS MANUFATURADOS";43511581;70846,263;85,68
"2018";"Carvão Mineral";"PRODUTOS MANUFATURADOS";68346763;94127,155;86,14
"2016";"Carvão Mineral";"PRODUTOS SEMIMANUFATURADOS";1444931;27262,304;3,65
"2017";"Carvão Mineral";"PRODUTOS SEMIMANUFATURADOS";7128748;40959,12;14,04
"2018";"Carvão Mineral";"PRODUTOS SEMIMANUFATURADOS";9849332;33236,74;12,41
"2016";"Caulim";"PRODUTOS BASICOS";180228369;1717430,49;66,79
"2017";"Caulim";"PRODUTOS BASICOS";181799672;1661987,24;69,87
"2018";"Caulim";"PRODUTOS BASICOS";170344055;1551647,424;80,46
"2016";"Caulim";"PRODUTOS MANUFATURADOS";89627214;103689,698;33,21
"2017";"Caulim";"PRODUTOS MANUFATURADOS";78385030;73615,873;30,13
"2018";"Caulim";"PRODUTOS MANUFATURADOS";41367364;43555,527;19,54
"2016";"Chumbo";"PRODUTOS BASICOS";14323417;18715,926;9,6
"2017";"Chumbo";"PRODUTOS BASICOS";17248229;15357,464;8,83
"2018";"Chumbo";"PRODUTOS BASICOS";16911907;16815,003;9,96
"2016";"Chumbo";"PRODUTOS MANUFATURADOS";113894335;41600,59;76,36
"2017";"Chumbo";"PRODUTOS MANUFATURADOS";127325875;43267,594;65,17
"2018";"Chumbo";"PRODUTOS MANUFATURADOS";117160314;41821,433;69,02
"2016";"Chumbo";"PRODUTOS SEMIMANUFATURADOS";20941673;10630,262;14,04
"2017";"Chumbo";"PRODUTOS SEMIMANUFATURADOS";50799440;22185,72;26
"2018";"Chumbo";"PRODUTOS SEMIMANUFATURADOS";35687450;14617,363;21,02
"2016";"Cobalto";"PRODUTOS BASICOS";47270;10,493;0,77
"2017";"Cobalto";"PRODUTOS BASICOS";302179;73,421;33,53
"2018";"Cobalto";"PRODUTOS BASICOS";255446;148,137;8,59
"2016";"Cobalto";"PRODUTOS MANUFATURADOS";192223;7,871;3,13
"2017";"Cobalto";"PRODUTOS MANUFATURADOS";598941;125,235;66,47
"2018";"Cobalto";"PRODUTOS MANUFATURADOS";2655318;50,567;89,32
"2016";"Cobalto";"PRODUTOS SEMIMANUFATURADOS";5903212;309,525;96,1
"2018";"Cobalto";"PRODUTOS SEMIMANUFATURADOS";61893;4,679;2,08
"2016";"Cobre";"PRODUTOS BASICOS";1980822932;1171812,029;68,54
"2017";"Cobre";"PRODUTOS BASICOS";2549065321;1266024,274;77,64
"2018";"Cobre";"PRODUTOS BASICOS";2699034396;1261385,665;75,94
"2016";"Cobre";"PRODUTOS MANUFATURADOS";420458896;85243,143;14,55
"2017";"Cobre";"PRODUTOS MANUFATURADOS";430682942;69243,781;13,12
"2018";"Cobre";"PRODUTOS MANUFATURADOS";511863152;73892,89;14,4
"2016";"Cobre";"PRODUTOS SEMIMANUFATURADOS";488748350;103302,417;16,91
"2017";"Cobre";"PRODUTOS SEMIMANUFATURADOS";303289834;49548,165;9,24
"2018";"Cobre";"PRODUTOS SEMIMANUFATURADOS";343250002;65866,051;9,66
"2016";"Coríndon";"PRODUTOS MANUFATURADOS";274569;108,098;100
"2018";"Coríndon";"PRODUTOS MANUFATURADOS";326;0,1;100
"2016";"Cromo";"PRODUTOS BASICOS";52153236;88532,06;13,31
"2017";"Cromo";"PRODUTOS BASICOS";62732351;100290,573;16,31
"2018";"Cromo";"PRODUTOS BASICOS";65234833;89089,548;20,11
"2016";"Cromo";"PRODUTOS MANUFATURADOS";296512894;148079,98;75,67
"2017";"Cromo";"PRODUTOS MANUFATURADOS";276772641;113682,095;71,94
"2018";"Cromo";"PRODUTOS MANUFATURADOS";239128782;84579,544;73,72
"2016";"Cromo";"PRODUTOS SEMIMANUFATURADOS";43193018;28175,76;11,02
"2017";"Cromo";"PRODUTOS SEMIMANUFATURADOS";45216157;23988,373;11,75
"2018";"Cromo";"PRODUTOS SEMIMANUFATURADOS";20016914;9840,631;6,17
"2016";"Diamante";"PRODUTOS BASICOS";36775635;0,503;81,59
"2017";"Diamante";"PRODUTOS BASICOS";60150558;0,054;88,73
"2018";"Diamante";"PRODUTOS BASICOS";47992119;0,045;86,44
"2016";"Diamante";"PRODUTOS MANUFATURADOS";8297131;302,83;18,41
"2017";"Diamante";"PRODUTOS MANUFATURADOS";7639387;236,797;11,27
"2018";"Diamante";"PRODUTOS MANUFATURADOS";7529654;164,241;13,56
"2016";"Diatomita";"PRODUTOS BASICOS";168465;125,328;22,35
"2017";"Diatomita";"PRODUTOS BASICOS";303409;174,708;41,85
"2018";"Diatomita";"PRODUTOS BASICOS";337595;219,62;46,79
"2016";"Diatomita";"PRODUTOS MANUFATURADOS";585217;561,579;77,65
"2017";"Diatomita";"PRODUTOS MANUFATURADOS";421668;542,078;58,15
"2018";"Diatomita";"PRODUTOS MANUFATURADOS";383868;575,161;53,21
"2016";"Dolomita";"PRODUTOS BASICOS";4061958;213780,467;100
"2017";"Dolomita";"PRODUTOS BASICOS";5298516;253594,611;100
"2018";"Dolomita";"PRODUTOS BASICOS";13924694;249675,304;100
"2016";"Enxofre";"PRODUTOS BASICOS";2124459;5427,727;26,72
"2017";"Enxofre";"PRODUTOS BASICOS";2209897;5637,976;15,61
"2018";"Enxofre";"PRODUTOS BASICOS";3200383;7269,856;15,45
"2016";"Enxofre";"PRODUTOS MANUFATURADOS";5825451;3425,504;73,28
"2017";"Enxofre";"PRODUTOS MANUFATURADOS";11947743;4538,069;84,39
"2018";"Enxofre";"PRODUTOS MANUFATURADOS";17511221;5069,998;84,55
"2016";"Estanho";"PRODUTOS BASICOS";34343726;3293,631;20,14
"2017";"Estanho";"PRODUTOS BASICOS";41817478;4750,525;18,94
"2018";"Estanho";"PRODUTOS BASICOS";24083686;2873,571;11,02
"2016";"Estanho";"PRODUTOS MANUFATURADOS";4821919;313,63;2,83
"2017";"Estanho";"PRODUTOS MANUFATURADOS";5343835;396,573;2,42
"2018";"Estanho";"PRODUTOS MANUFATURADOS";6250824;403,698;2,86
"2016";"Estanho";"PRODUTOS SEMIMANUFATURADOS";131393332;7215,585;77,04
"2017";"Estanho";"PRODUTOS SEMIMANUFATURADOS";173638130;8459,797;78,64
"2018";"Estanho";"PRODUTOS SEMIMANUFATURADOS";188280633;9141,244;86,12
"2016";"Estrôncio";"PRODUTOS MANUFATURADOS";70323;141;100
"2017";"Estrôncio";"PRODUTOS MANUFATURADOS";82354;9,466;100
"2018";"Estrôncio";"PRODUTOS MANUFATURADOS";126034;156;100
"2016";"Feldspato";"PRODUTOS BASICOS";875489;2486,693;100
"2017";"Feldspato";"PRODUTOS BASICOS";712924;1488,201;100
"2018";"Feldspato";"PRODUTOS BASICOS";1547499;2511,775;100
"2016";"Ferro";"PRODUTOS BASICOS";13394586771;374539781,851;66,52
"2017";"Ferro";"PRODUTOS BASICOS";19341719759;384685250,051;67,13
"2018";"Ferro";"PRODUTOS BASICOS";20342280218;391303019,398;66,56
"2016";"Ferro";"PRODUTOS MANUFATURADOS";3480874487;5149013,96;17,29
"2017";"Ferro";"PRODUTOS MANUFATURADOS";4478736763;5777018,323;15,54
"2018";"Ferro";"PRODUTOS MANUFATURADOS";4370791101;4901956,378;14,3
"2016";"Ferro";"PRODUTOS SEMIMANUFATURADOS";3261045834;10661002,202;16,19
"2017";"Ferro";"PRODUTOS SEMIMANUFATURADOS";4991318728;12079420,222;17,32
"2018";"Ferro";"PRODUTOS SEMIMANUFATURADOS";5847647161;11131540,44;19,13
"2016";"Fluorita";"PRODUTOS BASICOS";118201;194;11,36
"2017";"Fluorita";"PRODUTOS BASICOS";104578;163,5;10,35
"2018";"Fluorita";"PRODUTOS BASICOS";50175;74,1;4,09
"2016";"Fluorita";"PRODUTOS MANUFATURADOS";922579;1129,059;88,64
"2017";"Fluorita";"PRODUTOS MANUFATURADOS";906087;382,747;89,65
"2018";"Fluorita";"PRODUTOS MANUFATURADOS";1175338;530,779;95,91
"2016";"Fosfato";"PRODUTOS BASICOS";440;2,5;0
"2017";"Fosfato";"PRODUTOS BASICOS";4172;20,001;0
"2018";"Fosfato";"PRODUTOS BASICOS";48909;315,121;0,03
"2016";"Fosfato";"PRODUTOS MANUFATURADOS";166425830;415869,898;98,99
"2017";"Fosfato";"PRODUTOS MANUFATURADOS";162001738;385352,083;98,69
"2018";"Fosfato";"PRODUTOS MANUFATURADOS";168149598;369522,637;98,86
"2016";"Fosfato";"PRODUTOS SEMIMANUFATURADOS";1701864;5225,515;1,01
"2017";"Fosfato";"PRODUTOS SEMIMANUFATURADOS";2143182;6054,005;1,31
"2018";"Fosfato";"PRODUTOS SEMIMANUFATURADOS";1893570;4404,682;1,11
"2016";"Gemas";"PRODUTOS BASICOS";35032983;11539,599;20,52
"2017";"Gemas";"PRODUTOS BASICOS";34777014;11577,215;20,92
"2018";"Gemas";"PRODUTOS BASICOS";47645318;9978,029;28,65
"2016";"Gemas";"PRODUTOS MANUFATURADOS";131380827;7979,251;76,95
"2017";"Gemas";"PRODUTOS MANUFATURADOS";127797469;9359,547;76,86
"2018";"Gemas";"PRODUTOS MANUFATURADOS";116301854;8844,869;69,95
"2016";"Gemas";"TRANSACOES ESPECIAIS";4320267;3,292;2,53
"2017";"Gemas";"TRANSACOES ESPECIAIS";3692335;9,606;2,22
"2018";"Gemas";"TRANSACOES ESPECIAIS";2328975;0,746;1,4
"2016";"Gipsita";"PRODUTOS BASICOS";7749;0,325;0,24
"2017";"Gipsita";"PRODUTOS BASICOS";9683;80,861;0,27
"2018";"Gipsita";"PRODUTOS BASICOS";9988;1,305;0,26
"2016";"Gipsita";"PRODUTOS MANUFATURADOS";3229833;30247,434;99,76
"2017";"Gipsita";"PRODUTOS MANUFATURADOS";3631487;35077,531;99,73
"2018";"Gipsita";"PRODUTOS MANUFATURADOS";3833591;34586,953;99,74
"2016";"Grafita";"PRODUTOS BASICOS";28270022;24872,575;75,99
"2017";"Grafita";"PRODUTOS BASICOS";29590823;23468,345;74,14
"2018";"Grafita";"PRODUTOS BASICOS";32903250;24038,167;68,42
"2016";"Grafita";"PRODUTOS MANUFATURADOS";8933060;6768,138;24,01
"2017";"Grafita";"PRODUTOS MANUFATURADOS";10321276;7300,937;25,86
"2018";"Grafita";"PRODUTOS MANUFATURADOS";15187784;10098,881;31,58
"2016";"Iodo";"PRODUTOS MANUFATURADOS";5740635;255,035;100
"2017";"Iodo";"PRODUTOS MANUFATURADOS";4801740;234,083;100
"2018";"Iodo";"PRODUTOS MANUFATURADOS";5552646;226,866;100
"2018";"Irídio";"PRODUTOS MANUFATURADOS";228750;0,024;100
"2017";"Lítio";"PRODUTOS BASICOS";819;1;0,07
"2018";"Lítio";"PRODUTOS BASICOS";1733154;3060,464;55,74
"2016";"Lítio";"PRODUTOS MANUFATURADOS";4196227;45,85;100
"2017";"Lítio";"PRODUTOS MANUFATURADOS";1154971;11,831;99,93
"2018";"Lítio";"PRODUTOS MANUFATURADOS";1376323;30,392;44,26
"2016";"Magnésio";"PRODUTOS BASICOS";72463166;214430,189;86,5
"2017";"Magnésio";"PRODUTOS BASICOS";110964885;293759,322;89,1
"2018";"Magnésio";"PRODUTOS BASICOS";135118638;263970,178;93,99
"2016";"Magnésio";"PRODUTOS MANUFATURADOS";8435150;15932,609;10,07
"2017";"Magnésio";"PRODUTOS MANUFATURADOS";12779746;24549,265;10,26
"2018";"Magnésio";"PRODUTOS MANUFATURADOS";7992716;12752,502;5,56
"2016";"Magnésio";"PRODUTOS SEMIMANUFATURADOS";2875232;762;3,43
"2017";"Magnésio";"PRODUTOS SEMIMANUFATURADOS";801120;174,707;0,64
"2018";"Magnésio";"PRODUTOS SEMIMANUFATURADOS";649000;160;0,45
"2016";"Manganês";"PRODUTOS BASICOS";201815070;2010141,319;69,28
"2017";"Manganês";"PRODUTOS BASICOS";365636402;2683295,234;75,81
"2018";"Manganês";"PRODUTOS BASICOS";406787507;2614999,645;81,49
"2016";"Manganês";"PRODUTOS MANUFATURADOS";45486563;24379,101;15,61
"2017";"Manganês";"PRODUTOS MANUFATURADOS";31911617;21522,067;6,62
"2018";"Manganês";"PRODUTOS MANUFATURADOS";28462112;17902,391;5,7
"2016";"Manganês";"PRODUTOS SEMIMANUFATURADOS";44015649;65075,306;15,11
"2017";"Manganês";"PRODUTOS SEMIMANUFATURADOS";84777182;76841,737;17,58
"2018";"Manganês";"PRODUTOS SEMIMANUFATURADOS";63944375;56440,246;12,81
"2016";"Materiais Radioativos";"PRODUTOS MANUFATURADOS";5051006;23,523;100
"2017";"Materiais Radioativos";"PRODUTOS MANUFATURADOS";1107390;15,002;100
