"CO_ANO";"SUBSTANCIA";"NO_FAT_AGREG";"EX_FOB.x";"QUANTIDADE_TON";"percentual_FAT_AGREG"
"2018";"Materiais Radioativos";"PRODUTOS MANUFATURADOS";4084275;26,411;100
"2016";"Mercúrio";"PRODUTOS MANUFATURADOS";14439;253,023;100
"2017";"Mercúrio";"PRODUTOS MANUFATURADOS";231;0,003;100
"2018";"Mercúrio";"PRODUTOS MANUFATURADOS";501;0,002;100
"2016";"Metais Preciosos - Diversos";"PRODUTOS BASICOS";159362512;8127,483;56,57
"2017";"Metais Preciosos - Diversos";"PRODUTOS BASICOS";172341011;7293,989;60,73
"2018";"Metais Preciosos - Diversos";"PRODUTOS BASICOS";190191392;8256,887;50,07
"2016";"Metais Preciosos - Diversos";"PRODUTOS MANUFATURADOS";120981423;477,734;42,95
"2017";"Metais Preciosos - Diversos";"PRODUTOS MANUFATURADOS";110160267;903,272;38,82
"2018";"Metais Preciosos - Diversos";"PRODUTOS MANUFATURADOS";188643671;1419,064;49,66
"2016";"Metais Preciosos - Diversos";"PRODUTOS SEMIMANUFATURADOS";10584;0,028;0
"2017";"Metais Preciosos - Diversos";"PRODUTOS SEMIMANUFATURADOS";143166;0,469;0,05
"2018";"Metais Preciosos - Diversos";"PRODUTOS SEMIMANUFATURADOS";53913;0,21;0,01
"2016";"Metais Preciosos - Diversos";"TRANSACOES ESPECIAIS";1351466;4,164;0,48
"2017";"Metais Preciosos - Diversos";"TRANSACOES ESPECIAIS";1125480;3,811;0,4
"2018";"Metais Preciosos - Diversos";"TRANSACOES ESPECIAIS";956981;3,044;0,25
"2016";"Mica";"PRODUTOS BASICOS";2499175;4241,227;30,39
"2017";"Mica";"PRODUTOS BASICOS";2458806;3546,021;28,35
"2018";"Mica";"PRODUTOS BASICOS";2683527;3887,794;34,82
"2016";"Mica";"PRODUTOS MANUFATURADOS";5724225;699,741;69,61
"2017";"Mica";"PRODUTOS MANUFATURADOS";6212992;800,754;71,65
"2018";"Mica";"PRODUTOS MANUFATURADOS";5023558;684,818;65,18
"2016";"Minerais Abrasivos - Diversos";"PRODUTOS BASICOS";827912;23,499;1,43
"2017";"Minerais Abrasivos - Diversos";"PRODUTOS BASICOS";742091;49,886;1,19
"2018";"Minerais Abrasivos - Diversos";"PRODUTOS BASICOS";1395378;47,462;2,19
"2016";"Minerais Abrasivos - Diversos";"PRODUTOS MANUFATURADOS";57248472;9035,707;98,57
"2017";"Minerais Abrasivos - Diversos";"PRODUTOS MANUFATURADOS";61768825;9603,138;98,81
"2018";"Minerais Abrasivos - Diversos";"PRODUTOS MANUFATURADOS";62408095;10280,043;97,81
"2016";"Minerais Abrasivos - Outros";"PRODUTOS BASICOS";3453;0,245;100
"2017";"Minerais Abrasivos - Outros";"PRODUTOS BASICOS";3949;0,496;100
"2018";"Minerais Abrasivos - Outros";"PRODUTOS BASICOS";4645;0,368;100
"2016";"Minerais Metálicos - Diversos";"PRODUTOS BASICOS";37629698;998,394;2,58
"2017";"Minerais Metálicos - Diversos";"PRODUTOS BASICOS";15810584;719,787;0,93
"2018";"Minerais Metálicos - Diversos";"PRODUTOS BASICOS";35575444;1137,73;2,21
"2016";"Minerais Metálicos - Diversos";"PRODUTOS MANUFATURADOS";1422690776;148611,249;97,42
"2017";"Minerais Metálicos - Diversos";"PRODUTOS MANUFATURADOS";1680556065;151132,134;99,07
"2018";"Minerais Metálicos - Diversos";"PRODUTOS MANUFATURADOS";1572513149;161423,489;97,79
"2018";"Minerais Metálicos - Diversos";"PRODUTOS SEMIMANUFATURADOS";20865;0,535;0
"2016";"Minerais Metálicos - Outros";"PRODUTOS BASICOS";467643;646,75;93,39
"2017";"Minerais Metálicos - Outros";"PRODUTOS BASICOS";430773;601,613;100
"2018";"Minerais Metálicos - Outros";"PRODUTOS BASICOS";249566;876,913;94,29
"2016";"Minerais Metálicos - Outros";"PRODUTOS MANUFATURADOS";33087;28,514;6,61
"2018";"Minerais Metálicos - Outros";"PRODUTOS MANUFATURADOS";15103;10,08;5,71
"2016";"Minerais Refratários - Diversos";"PRODUTOS MANUFATURADOS";100378069;74705,367;100
"2017";"Minerais Refratários - Diversos";"PRODUTOS MANUFATURADOS";100950829;70767,456;100
"2018";"Minerais Refratários - Diversos";"PRODUTOS MANUFATURADOS";105406202;65515,458;100
"2016";"Minerais Refratários - Outros";"PRODUTOS BASICOS";58648;68,067;100
"2017";"Minerais Refratários - Outros";"PRODUTOS BASICOS";78946;58,089;100
"2018";"Minerais Refratários - Outros";"PRODUTOS BASICOS";23638;30,23;97,58
"2018";"Minerais Refratários - Outros";"PRODUTOS MANUFATURADOS";586;0,26;2,42
"2016";"Molibdênio";"PRODUTOS BASICOS";5253841;996,562;93,71
"2017";"Molibdênio";"PRODUTOS BASICOS";2662964;726,97;91,57
"2018";"Molibdênio";"PRODUTOS BASICOS";3826004;769,512;84,1
"2016";"Molibdênio";"PRODUTOS MANUFATURADOS";55668;1,522;0,99
"2017";"Molibdênio";"PRODUTOS MANUFATURADOS";21652;0,105;0,74
"2018";"Molibdênio";"PRODUTOS MANUFATURADOS";17155;0,381;0,38
"2016";"Molibdênio";"PRODUTOS SEMIMANUFATURADOS";296704;32,351;5,29
"2017";"Molibdênio";"PRODUTOS SEMIMANUFATURADOS";223492;17,559;7,69
"2018";"Molibdênio";"PRODUTOS SEMIMANUFATURADOS";705925;40,733;15,52
"2016";"Nióbio";"PRODUTOS SEMIMANUFATURADOS";1331514780;64657,552;100
"2017";"Nióbio";"PRODUTOS SEMIMANUFATURADOS";1608188082;80716,764;100
"2018";"Nióbio";"PRODUTOS SEMIMANUFATURADOS";2011633328;95528,441;100
"2016";"Níquel";"PRODUTOS BASICOS";30250041;39964,881;4,86
"2017";"Níquel";"PRODUTOS BASICOS";3936876;912,06;0,66
"2018";"Níquel";"PRODUTOS BASICOS";2250408;739,347;0,32
"2016";"Níquel";"PRODUTOS MANUFATURADOS";46019524;2754,351;7,39
"2017";"Níquel";"PRODUTOS MANUFATURADOS";53886118;3017,263;9,04
"2018";"Níquel";"PRODUTOS MANUFATURADOS";51504017;2107,361;7,42
"2016";"Níquel";"PRODUTOS SEMIMANUFATURADOS";546333390;208531,515;87,75
"2017";"Níquel";"PRODUTOS SEMIMANUFATURADOS";538486261;209887,918;90,3
"2018";"Níquel";"PRODUTOS SEMIMANUFATURADOS";640383983;197357,797;92,26
"2016";"Ouro";"PRODUTOS BASICOS";23179;0,73;0
"2017";"Ouro";"PRODUTOS BASICOS";828333;0,083;0,03
"2018";"Ouro";"PRODUTOS BASICOS";384079;19,097;0,01
"2016";"Ouro";"PRODUTOS MANUFATURADOS";550;0,01;0
"2017";"Ouro";"PRODUTOS MANUFATURADOS";68466;0,015;0
"2018";"Ouro";"PRODUTOS MANUFATURADOS";115879;0,004;0
"2016";"Ouro";"PRODUTOS SEMIMANUFATURADOS";2893031646;78,29;98,78
"2017";"Ouro";"PRODUTOS SEMIMANUFATURADOS";2800415727;75,385;99,09
"2018";"Ouro";"PRODUTOS SEMIMANUFATURADOS";2812731419;75,813;99,25
"2016";"Ouro";"TRANSACOES ESPECIAIS";35774149;0,331;1,22
"2017";"Ouro";"TRANSACOES ESPECIAIS";24732642;0,191;0,88
"2018";"Ouro";"TRANSACOES ESPECIAIS";20693766;0,045;0,73
"2016";"Paládio";"PRODUTOS SEMIMANUFATURADOS";5548381;7,477;100
"2017";"Paládio";"PRODUTOS SEMIMANUFATURADOS";2008733;6,912;100
"2018";"Paládio";"PRODUTOS SEMIMANUFATURADOS";1767654;0,057;100
"2016";"Perlita";"PRODUTOS BASICOS";4825;22,5;100
"2017";"Perlita";"PRODUTOS BASICOS";5608;25,05;100
"2016";"Platina";"PRODUTOS BASICOS";1285248;136,161;6,84
"2017";"Platina";"PRODUTOS BASICOS";685683;7,561;3,63
"2018";"Platina";"PRODUTOS BASICOS";948216;23,598;2,08
"2016";"Platina";"PRODUTOS MANUFATURADOS";16412053;0,534;87,33
"2017";"Platina";"PRODUTOS MANUFATURADOS";17778080;0,572;94,07
"2018";"Platina";"PRODUTOS MANUFATURADOS";44028159;1,343;96,65
"2016";"Platina";"PRODUTOS SEMIMANUFATURADOS";1095932;0,036;5,83
"2017";"Platina";"PRODUTOS SEMIMANUFATURADOS";434887;0,057;2,3
"2018";"Platina";"PRODUTOS SEMIMANUFATURADOS";579941;10,212;1,27
"2018";"Platina (Grupo) - Diversos";"PRODUTOS SEMIMANUFATURADOS";234298;1,508;100
"2016";"Potássio";"PRODUTOS MANUFATURADOS";36881719;23255,792;83,4
"2017";"Potássio";"PRODUTOS MANUFATURADOS";31378233;28149,794;84,46
"2018";"Potássio";"PRODUTOS MANUFATURADOS";28076238;22285,756;86,13
"2016";"Potássio";"PRODUTOS SEMIMANUFATURADOS";7342800;20240,431;16,6
"2017";"Potássio";"PRODUTOS SEMIMANUFATURADOS";5773679;13064,386;15,54
"2018";"Potássio";"PRODUTOS SEMIMANUFATURADOS";4522349;7892,356;13,87
"2016";"Prata";"PRODUTOS BASICOS";617258;832,734;1,01
"2017";"Prata";"PRODUTOS BASICOS";2120796;936,003;3,45
"2018";"Prata";"PRODUTOS BASICOS";3017506;1070,286;7,42
"2016";"Prata";"PRODUTOS MANUFATURADOS";37255476;109,102;61,05
"2017";"Prata";"PRODUTOS MANUFATURADOS";37514018;111,071;61
"2018";"Prata";"PRODUTOS MANUFATURADOS";35530333;107,897;87,32
"2016";"Prata";"PRODUTOS SEMIMANUFATURADOS";23152211;53,957;37,94
"2017";"Prata";"PRODUTOS SEMIMANUFATURADOS";21866146;46,856;35,55
"2018";"Prata";"PRODUTOS SEMIMANUFATURADOS";2139961;8,601;5,26
"2016";"Quartzo (Cristal)";"PRODUTOS BASICOS";4573797;13829,938;37,87
"2017";"Quartzo (Cristal)";"PRODUTOS BASICOS";6013356;17318,524;60,53
"2018";"Quartzo (Cristal)";"PRODUTOS BASICOS";6644096;20061,296;56,67
"2016";"Quartzo (Cristal)";"PRODUTOS MANUFATURADOS";7504223;231,831;62,13
"2017";"Quartzo (Cristal)";"PRODUTOS MANUFATURADOS";3920557;99,65;39,47
"2018";"Quartzo (Cristal)";"PRODUTOS MANUFATURADOS";5079250;120,201;43,33
"2016";"Rochas Betuminosas";"PRODUTOS BASICOS";181816;185,992;1,53
"2017";"Rochas Betuminosas";"PRODUTOS BASICOS";85333;138,274;0,69
"2018";"Rochas Betuminosas";"PRODUTOS BASICOS";50858;109,158;0,43
"2016";"Rochas Betuminosas";"PRODUTOS MANUFATURADOS";11733777;17813,727;98,47
"2017";"Rochas Betuminosas";"PRODUTOS MANUFATURADOS";12245083;16769,22;99,31
"2018";"Rochas Betuminosas";"PRODUTOS MANUFATURADOS";11887770;16513,722;99,57
"2016";"Rochas Britadas e Cascalho";"PRODUTOS BASICOS";1831621;76718,211;100
"2017";"Rochas Britadas e Cascalho";"PRODUTOS BASICOS";1343297;60379,879;100
"2018";"Rochas Britadas e Cascalho";"PRODUTOS BASICOS";1557309;101384,348;100
"2016";"Rochas e Minerais Industriais - Diversos";"PRODUTOS BASICOS";915197;5009,591;2,13
"2017";"Rochas e Minerais Industriais - Diversos";"PRODUTOS BASICOS";1187870;5727,109;2,15
"2018";"Rochas e Minerais Industriais - Diversos";"PRODUTOS BASICOS";1216538;6200,464;2,32
"2016";"Rochas e Minerais Industriais - Diversos";"PRODUTOS MANUFATURADOS";41999448;15384,936;97,87
"2017";"Rochas e Minerais Industriais - Diversos";"PRODUTOS MANUFATURADOS";53988920;18481,911;97,85
"2018";"Rochas e Minerais Industriais - Diversos";"PRODUTOS MANUFATURADOS";51226713;17023,43;97,68
"2016";"Rochas e Minerais Industriais - Outros";"PRODUTOS BASICOS";260550;1106,646;18,63
"2017";"Rochas e Minerais Industriais - Outros";"PRODUTOS BASICOS";91765;408,86;2,75
"2018";"Rochas e Minerais Industriais - Outros";"PRODUTOS BASICOS";6984;8,3;0,23
"2016";"Rochas e Minerais Industriais - Outros";"PRODUTOS MANUFATURADOS";1138004;135,557;81,37
"2017";"Rochas e Minerais Industriais - Outros";"PRODUTOS MANUFATURADOS";3246408;173,506;97,25
"2018";"Rochas e Minerais Industriais - Outros";"PRODUTOS MANUFATURADOS";3056332;156,311;99,77
"2016";"Rochas Ornamentais";"PRODUTOS BASICOS";226828310;1085866,069;19,93
"2017";"Rochas Ornamentais";"PRODUTOS BASICOS";218104910;1051553,72;19,69
"2018";"Rochas Ornamentais";"PRODUTOS BASICOS";224270306;1069152,319;22,62
"2016";"Rochas Ornamentais";"PRODUTOS MANUFATURADOS";901853253;1337281,779;79,23
"2017";"Rochas Ornamentais";"PRODUTOS MANUFATURADOS";881808779;1280687,096;79,63
"2018";"Rochas Ornamentais";"PRODUTOS MANUFATURADOS";761271123;1103332,392;76,77
"2016";"Rochas Ornamentais";"PRODUTOS SEMIMANUFATURADOS";9656818;35712,501;0,85
"2017";"Rochas Ornamentais";"PRODUTOS SEMIMANUFATURADOS";7534864;26607,462;0,68
"2018";"Rochas Ornamentais";"PRODUTOS SEMIMANUFATURADOS";6079144;21712,338;0,61
"2017";"Ródio";"PRODUTOS SEMIMANUFATURADOS";3804;0,089;100
"2018";"Rutênio";"PRODUTOS MANUFATURADOS";33411;0,057;100
"2016";"Sal";"PRODUTOS BASICOS";26719353;1133583,601;47,1
"2017";"Sal";"PRODUTOS BASICOS";21915634;963923,255;31,77
"2018";"Sal";"PRODUTOS BASICOS";17769942;755461,252;34,33
"2016";"Sal";"PRODUTOS MANUFATURADOS";30006056;46933,096;52,9
"2017";"Sal";"PRODUTOS MANUFATURADOS";47060793;109605,31;68,23
"2018";"Sal";"PRODUTOS MANUFATURADOS";33999304;60084,81;65,67
"2016";"Selênio";"PRODUTOS MANUFATURADOS";102190;5,75;100
"2017";"Selênio";"PRODUTOS MANUFATURADOS";146615;6,213;100
"2018";"Selênio";"PRODUTOS MANUFATURADOS";165447;4,2;100
"2016";"Silício";"PRODUTOS BASICOS";2264570;21556,497;0,25
"2017";"Silício";"PRODUTOS BASICOS";2119741;32829,52;0,25
"2018";"Silício";"PRODUTOS BASICOS";4508622;70623,071;0,42
"2016";"Silício";"PRODUTOS MANUFATURADOS";749088445;553248,593;83,58
"2017";"Silício";"PRODUTOS MANUFATURADOS";716303836;535934,581;83,04
"2018";"Silício";"PRODUTOS MANUFATURADOS";868569182;501516,958;81,81
"2016";"Silício";"PRODUTOS SEMIMANUFATURADOS";144916474;112758,324;16,17
"2017";"Silício";"PRODUTOS SEMIMANUFATURADOS";144163515;92511,841;16,71
"2018";"Silício";"PRODUTOS SEMIMANUFATURADOS";188563407;110317,753;17,76
"2016";"Talco";"PRODUTOS BASICOS";6046879;12570,116;100
"2017";"Talco";"PRODUTOS BASICOS";6612020;14770,531;100
"2018";"Talco";"PRODUTOS BASICOS";5955713;11696,265;100
"2016";"Tântalo";"PRODUTOS BASICOS";68833;16,667;0,38
"2018";"Tântalo";"PRODUTOS BASICOS";642754;33,43;5,24
"2016";"Tântalo";"PRODUTOS MANUFATURADOS";18000360;1143,051;99,62
"2017";"Tântalo";"PRODUTOS MANUFATURADOS";28421930;1817,263;100
"2018";"Tântalo";"PRODUTOS MANUFATURADOS";11622126;629,059;94,76
"2016";"Terras Raras";"PRODUTOS BASICOS";1918500;4525;70,74
"2017";"Terras Raras";"PRODUTOS BASICOS";858000;1900;48,29
"2018";"Terras Raras";"PRODUTOS BASICOS";4e+05;800;24,29
"2016";"Terras Raras";"PRODUTOS MANUFATURADOS";793473;150,64;29,26
"2017";"Terras Raras";"PRODUTOS MANUFATURADOS";918936;94,128;51,71
"2018";"Terras Raras";"PRODUTOS MANUFATURADOS";1247060;115,318;75,71
"2016";"Titânio";"PRODUTOS BASICOS";3792699;26118,217;15,72
"2017";"Titânio";"PRODUTOS BASICOS";8800335;68396,227;28,69
"2018";"Titânio";"PRODUTOS BASICOS";16391933;111631,272;42,62
"2016";"Titânio";"PRODUTOS MANUFATURADOS";20297990;6985,051;84,12
"2017";"Titânio";"PRODUTOS MANUFATURADOS";21861855;5915,99;71,27
"2018";"Titânio";"PRODUTOS MANUFATURADOS";22070747;5006,226;57,38
"2016";"Titânio";"PRODUTOS SEMIMANUFATURADOS";37769;8,72;0,16
"2017";"Titânio";"PRODUTOS SEMIMANUFATURADOS";11061;1,039;0,04
"2016";"Tungstênio";"PRODUTOS BASICOS";3978534;377,594;54,99
"2017";"Tungstênio";"PRODUTOS BASICOS";5989919;501,585;54,65
"2018";"Tungstênio";"PRODUTOS BASICOS";6844605;696,481;61,61
"2016";"Tungstênio";"PRODUTOS MANUFATURADOS";807681;12,976;11,16
"2017";"Tungstênio";"PRODUTOS MANUFATURADOS";1278619;511,066;11,67
"2018";"Tungstênio";"PRODUTOS MANUFATURADOS";1888765;749,688;17
"2016";"Tungstênio";"PRODUTOS SEMIMANUFATURADOS";2449314;151,67;33,85
"2017";"Tungstênio";"PRODUTOS SEMIMANUFATURADOS";3691193;199,539;33,68
"2018";"Tungstênio";"PRODUTOS SEMIMANUFATURADOS";2376090;87,408;21,39
"2016";"Turfa";"PRODUTOS BASICOS";549812;1086,817;100
"2017";"Turfa";"PRODUTOS BASICOS";664920;2010,748;100
"2018";"Turfa";"PRODUTOS BASICOS";564984;1527,475;100
"2016";"Vanádio";"PRODUTOS MANUFATURADOS";55189193;7960,001;100
"2017";"Vanádio";"PRODUTOS MANUFATURADOS";135086753;9220,005;99,92
"2018";"Vanádio";"PRODUTOS MANUFATURADOS";356443075;9181,212;99,72
"2017";"Vanádio";"PRODUTOS SEMIMANUFATURADOS";107548;5;0,08
"2018";"Vanádio";"PRODUTOS SEMIMANUFATURADOS";1007861;11,988;0,28
"2016";"Vermiculita";"PRODUTOS BASICOS";8821059;32062;56,6
"2017";"Vermiculita";"PRODUTOS BASICOS";8879681;32027,15;62,81
"2018";"Vermiculita";"PRODUTOS BASICOS";9720666;33319,65;67,47
"2016";"Vermiculita";"PRODUTOS MANUFATURADOS";6763188;3991,045;43,4
"2017";"Vermiculita";"PRODUTOS MANUFATURADOS";5257240;3578,646;37,19
"2018";"Vermiculita";"PRODUTOS MANUFATURADOS";4687399;3660,734;32,53
"2016";"Zinco";"PRODUTOS BASICOS";79980;113,049;0,05
"2017";"Zinco";"PRODUTOS BASICOS";251236;914,807;0,11
"2018";"Zinco";"PRODUTOS BASICOS";5835360;38683,565;2,27
"2016";"Zinco";"PRODUTOS MANUFATURADOS";4216891;1572,111;2,63
"2017";"Zinco";"PRODUTOS MANUFATURADOS";6227230;2129,335;2,75
"2018";"Zinco";"PRODUTOS MANUFATURADOS";7160467;2612,131;2,79
"2016";"Zinco";"PRODUTOS SEMIMANUFATURADOS";156338215;77249,254;97,33
"2017";"Zinco";"PRODUTOS SEMIMANUFATURADOS";219669035;77591,585;97,14
"2018";"Zinco";"PRODUTOS SEMIMANUFATURADOS";243787405;81170,481;94,94
"2016";"Zircônio";"PRODUTOS BASICOS";1919055;1455,22;71,6
"2017";"Zircônio";"PRODUTOS BASICOS";1967988;1743,72;88,88
"2018";"Zircônio";"PRODUTOS BASICOS";1717960;930,072;94,68
"2016";"Zircônio";"PRODUTOS MANUFATURADOS";761284;35,77;28,4
"2017";"Zircônio";"PRODUTOS MANUFATURADOS";246130;32,949;11,12
"2018";"Zircônio";"PRODUTOS MANUFATURADOS";96532;7,473;5,32
